# n per side, Q4, Q1E4, Qi6
2 0.359 3.80 4.63
5 1.36 6.35 6.58
10 2.89 6.82 6.82
15 3.97 6.88 6.88
20 4.71 6.93 6.93
25 5.21 6.95 6.95
30 5.59 6.97 6.97
35 5.8 6.97 6.98
