#mesh #BF #V #IC #C h_avg[m] h_max[m] Nn_min Nn_max time[s] L1[m] L2_GP[m] L2_CP[m] Linf[m] L2_CP[Pa] Linf[Pa]
1 4 5 4 8 8.54E-01 1.00E+00 Inf 0 NaN NaN NaN NaN NaN NaN NaN
2 8 12 14 22 4.26E-01 5.30E-01 20 20 1.17E-04 3.57E-03 7.29E-03 5.01E-03 1.15E-02 4.44E-02 5.02E-02
3 12 20 26 38 3.06E-01 4.23E-01 20 20 3.36E-04 7.37E-04 1.87E-03 1.15E-03 4.00E-03 1.81E-02 3.09E-02
4 16 30 42 58 2.38E-01 3.11E-01 20 20 1.64E-03 2.79E-04 5.93E-04 4.13E-04 1.81E-03 7.11E-03 1.32E-02
5 20 44 66 86 1.90E-01 2.54E-01 20 21 1.18E-03 1.00E-04 2.46E-04 1.56E-04 8.17E-04 3.89E-03 9.36E-03
6 24 58 90 114 1.62E-01 2.02E-01 20 20 1.56E-03 6.77E-05 1.16E-04 9.88E-05 4.02E-04 2.38E-03 4.70E-03
7 28 75 120 148 1.40E-01 1.68E-01 20 21 2.16E-03 2.74E-05 6.00E-05 4.29E-05 2.28E-04 1.64E-03 3.99E-03
8 32 98 162 194 1.20E-01 1.52E-01 20 21 3.24E-03 1.75E-05 3.57E-05 2.66E-05 1.42E-04 1.13E-03 2.66E-03
9 36 118 198 234 1.09E-01 1.38E-01 20 20 3.12E-03 1.72E-05 2.25E-05 2.32E-05 1.04E-04 7.99E-04 2.06E-03
10 40 142 242 282 9.81E-02 1.23E-01 20 20 3.85E-03 8.56E-06 1.44E-05 1.24E-05 6.43E-05 6.13E-04 1.45E-03
11 44 171 296 340 8.88E-02 1.06E-01 20 21 5.77E-03 7.01E-06 9.54E-06 9.59E-06 4.47E-05 4.60E-04 1.23E-03
12 48 198 346 394 8.20E-02 1.09E-01 20 21 6.58E-03 4.66E-06 6.94E-06 6.68E-06 3.20E-05 3.57E-04 9.13E-04
13 52 230 406 458 7.58E-02 1.02E-01 20 21 7.70E-03 3.63E-06 5.16E-06 5.15E-06 2.30E-05 2.86E-04 7.27E-04
14 56 259 460 516 7.10E-02 8.53E-02 20 21 9.20E-03 2.46E-06 3.73E-06 3.64E-06 1.81E-05 2.40E-04 6.09E-04
15 60 303 544 604 6.54E-02 7.87E-02 20 21 1.16E-02 1.83E-06 2.71E-06 2.70E-06 1.41E-05 1.91E-04 4.72E-04
16 64 340 614 678 6.16E-02 8.34E-02 20 21 1.53E-02 1.64E-06 2.23E-06 2.37E-06 1.08E-05 1.59E-04 4.28E-04
17 68 380 690 758 5.80E-02 7.51E-02 20 21 1.51E-02 1.15E-06 1.65E-06 1.70E-06 8.09E-06 1.29E-04 3.59E-04
18 72 428 782 854 5.45E-02 6.55E-02 20 21 1.75E-02 9.95E-07 1.32E-06 1.48E-06 7.45E-06 1.12E-04 2.99E-04
19 76 464 850 926 5.22E-02 6.22E-02 20 21 1.96E-02 6.71E-07 9.98E-07 9.96E-07 5.30E-06 9.55E-05 2.51E-04
20 80 513 944 1024 4.96E-02 6.99E-02 20 21 2.30E-02 5.89E-07 8.34E-07 8.47E-07 4.20E-06 8.28E-05 2.13E-04
21 84 553 1020 1104 4.77E-02 5.67E-02 20 21 2.56E-02 4.80E-07 6.86E-07 7.01E-07 3.60E-06 7.45E-05 1.98E-04
22 88 621 1152 1240 4.49E-02 5.44E-02 20 21 3.09E-02 4.06E-07 5.67E-07 5.90E-07 3.11E-06 6.05E-05 1.67E-04
23 92 677 1260 1352 4.29E-02 5.10E-02 20 21 3.35E-02 3.60E-07 4.92E-07 5.33E-07 2.81E-06 5.41E-05 1.45E-04
24 96 728 1358 1454 4.13E-02 5.05E-02 20 21 3.80E-02 3.12E-07 3.99E-07 4.61E-07 2.17E-06 4.77E-05 1.32E-04
25 100 790 1478 1578 3.96E-02 5.00E-02 20 21 4.34E-02 2.62E-07 3.52E-07 3.90E-07 1.88E-06 4.28E-05 1.25E-04
26 104 842 1578 1682 3.83E-02 4.48E-02 20 21 4.82E-02 2.17E-07 2.99E-07 3.27E-07 1.63E-06 3.87E-05 1.04E-04
27 108 919 1728 1836 3.66E-02 4.98E-02 20 21 5.53E-02 1.74E-07 2.50E-07 2.51E-07 1.52E-06 3.39E-05 9.29E-05
28 112 974 1834 1946 3.55E-02 4.83E-02 20 21 6.00E-02 1.47E-07 2.17E-07 2.21E-07 1.17E-06 3.09E-05 9.29E-05
29 116 1052 1986 2102 3.42E-02 4.57E-02 20 21 7.57E-02 1.43E-07 1.92E-07 2.09E-07 1.08E-06 2.71E-05 7.74E-05
30 120 1125 2128 2248 3.30E-02 4.11E-02 20 21 7.59E-02 1.22E-07 1.69E-07 1.78E-07 9.52E-07 2.49E-05 7.44E-05
31 124 1190 2254 2378 3.20E-02 3.88E-02 20 21 9.16E-02 1.03E-07 1.43E-07 1.54E-07 8.75E-07 2.27E-05 5.88E-05
32 128 1265 2400 2528 3.11E-02 4.05E-02 20 21 9.96E-02 9.03E-08 1.27E-07 1.34E-07 7.49E-07 2.08E-05 5.74E-05
