#mesh #BF #V #IC #C h_avg[m] h_max[m] Nn_min Nn_max time[s] L1[m] L2_GP[m] L2_CP[m] Linf[m] L2_CP[Pa] Linf[Pa]
1 4 5 4 8 8.54E-01 1.00E+00 Inf 0 NaN NaN NaN NaN NaN NaN NaN
2 8 12 14 22 4.26E-01 5.30E-01 16 16 9.60E-05 1.17E-02 1.72E-02 1.52E-02 2.76E-02 4.31E-02 5.72E-02
3 12 20 26 38 3.06E-01 4.23E-01 16 17 5.80E-04 4.81E-03 6.40E-03 6.08E-03 1.43E-02 1.79E-02 2.52E-02
4 16 30 42 58 2.38E-01 3.11E-01 16 16 5.46E-04 2.56E-03 3.22E-03 2.92E-03 6.64E-03 1.35E-02 2.96E-02
5 20 44 66 86 1.90E-01 2.54E-01 16 16 1.10E-03 1.34E-03 1.71E-03 1.57E-03 4.40E-03 8.46E-03 1.68E-02
6 24 58 90 114 1.62E-01 2.02E-01 16 16 1.66E-03 1.15E-03 1.37E-03 1.29E-03 2.77E-03 5.83E-03 1.05E-02
7 28 75 120 148 1.40E-01 1.68E-01 16 16 1.72E-03 8.07E-04 9.71E-04 9.28E-04 1.80E-03 4.42E-03 7.78E-03
8 32 98 162 194 1.20E-01 1.52E-01 16 16 2.43E-03 6.50E-04 7.91E-04 7.65E-04 1.53E-03 3.35E-03 6.12E-03
9 36 118 198 234 1.09E-01 1.38E-01 16 17 2.93E-03 5.31E-04 6.33E-04 6.13E-04 1.25E-03 2.75E-03 5.11E-03
10 40 142 242 282 9.81E-02 1.23E-01 16 16 3.50E-03 4.39E-04 5.24E-04 5.13E-04 9.55E-04 2.29E-03 3.94E-03
11 44 171 296 340 8.88E-02 1.06E-01 16 17 4.14E-03 3.49E-04 4.13E-04 4.04E-04 7.43E-04 1.86E-03 3.10E-03
12 48 198 346 394 8.20E-02 1.09E-01 16 16 5.80E-03 3.29E-04 4.02E-04 3.96E-04 8.59E-04 1.56E-03 2.58E-03
13 52 230 406 458 7.58E-02 1.02E-01 16 19 6.36E-03 2.72E-04 3.29E-04 3.24E-04 6.62E-04 1.36E-03 2.46E-03
14 56 259 460 516 7.10E-02 8.53E-02 16 19 7.62E-03 2.45E-04 2.93E-04 2.90E-04 5.70E-04 1.20E-03 2.11E-03
15 60 303 544 604 6.54E-02 7.87E-02 16 18 1.05E-02 2.10E-04 2.57E-04 2.55E-04 4.95E-04 1.03E-03 1.83E-03
16 64 340 614 678 6.16E-02 8.34E-02 16 19 1.12E-02 1.87E-04 2.27E-04 2.25E-04 4.48E-04 9.04E-04 1.73E-03
17 68 380 690 758 5.80E-02 7.51E-02 16 19 1.27E-02 1.64E-04 1.99E-04 1.97E-04 3.81E-04 8.02E-04 1.61E-03
18 72 428 782 854 5.45E-02 6.55E-02 16 18 1.42E-02 1.53E-04 1.88E-04 1.87E-04 3.98E-04 7.14E-04 1.29E-03
19 76 464 850 926 5.22E-02 6.22E-02 16 19 1.61E-02 1.37E-04 1.67E-04 1.66E-04 3.33E-04 6.59E-04 1.35E-03
20 80 513 944 1024 4.96E-02 6.99E-02 16 18 2.02E-02 1.23E-04 1.51E-04 1.50E-04 3.02E-04 5.88E-04 1.16E-03
21 84 553 1020 1104 4.77E-02 5.67E-02 16 18 2.17E-02 1.16E-04 1.39E-04 1.39E-04 2.76E-04 5.42E-04 1.07E-03
22 88 621 1152 1240 4.49E-02 5.44E-02 16 19 2.50E-02 1.07E-04 1.31E-04 1.30E-04 2.60E-04 4.87E-04 9.59E-04
23 92 677 1260 1352 4.29E-02 5.10E-02 16 19 3.37E-02 9.53E-05 1.17E-04 1.16E-04 2.31E-04 4.48E-04 7.64E-04
24 96 728 1358 1454 4.13E-02 5.05E-02 16 19 3.33E-02 8.91E-05 1.09E-04 1.09E-04 2.16E-04 4.11E-04 7.32E-04
25 100 790 1478 1578 3.96E-02 5.00E-02 16 19 3.77E-02 8.06E-05 9.83E-05 9.81E-05 1.96E-04 3.81E-04 7.49E-04
26 104 842 1578 1682 3.83E-02 4.48E-02 16 19 4.09E-02 7.76E-05 9.44E-05 9.42E-05 1.88E-04 3.56E-04 7.14E-04
27 108 919 1728 1836 3.66E-02 4.98E-02 16 19 4.48E-02 6.17E-05 7.58E-05 7.56E-05 1.49E-04 3.26E-04 7.06E-04
28 112 974 1834 1946 3.55E-02 4.83E-02 16 19 5.16E-02 6.59E-05 8.07E-05 8.05E-05 1.62E-04 3.06E-04 6.00E-04
29 116 1052 1986 2102 3.42E-02 4.57E-02 16 19 5.61E-02 6.21E-05 7.67E-05 7.65E-05 1.54E-04 2.85E-04 5.70E-04
30 120 1125 2128 2248 3.30E-02 4.11E-02 16 19 6.38E-02 5.81E-05 7.18E-05 7.17E-05 1.45E-04 2.68E-04 5.27E-04
31 124 1190 2254 2378 3.20E-02 3.88E-02 16 19 7.12E-02 5.51E-05 6.74E-05 6.73E-05 1.33E-04 2.51E-04 4.78E-04
32 128 1265 2400 2528 3.11E-02 4.05E-02 16 19 7.58E-02 5.17E-05 6.35E-05 6.34E-05 1.26E-04 2.35E-04 4.57E-04
